Age,BusinessTravel,DailyRate,EducationField,EmployeeCount,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,Department,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,JobRole
36,Travel_Rarely,1218,Life Sciences,1,Single,3407,6986,7,Y,No,23,4,2,80,0,10,4,3,5,3,0,3,Yes,Sales,9.0,4.0,27.0,3.0,MAle,82.0,,1.0,1.0,Sales Representative
34,Travel_Rarely,419,Life Sciences,1,Single,11994,21293,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11,No,Research & Development,7.0,4.0,28.0,1.0,FeMaLE,53.0,3.0,3.0,2.0,Research Director
21,Travel_Rarely,391,Life Sciences,1,Single,1232,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0,No,Research & Development,15.0,2.0,30.0,3.0,Male,96.0,3.0,,4.0,Research Scientist
34,Travel_Rarely,699,Medical,1,Single,2960,17102,2,Y,No,11,3,3,80,0,8,2,3,4,2,1,3,Yes,Research & Development,6.0,1.0,31.0,2.0,Male,83.0,3.0,1.0,1.0,Research Scientist
53,Travel_Rarely,1282,Other,1,Divorced,19094,10735,4,Y,No,11,3,4,80,1,26,3,2,14,13,4,8,No,Research & Development,,3.0,3.0,3.0,Female,5.0,3.0,5.0,3.0,Manager
32,Travel_Frequently,1125,Life Sciences,1,Single,3919,4681,1,Y,Yes,22,4,2,80,0,10,5,3,10,2,6,7,Yes,ResEaRcH & dEVelOpMeNT,16.0,1.0,3.0,2.0,Fem,72.0,1.0,1.0,1.0,Research Scientist
42,Travel_Rarely,691,Marketing,1,Married,6825,21173,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2,No,Sales,8.0,4.0,35.0,3.0,Male,48.0,,2.0,2.0,Sales Executive
44,Travel_Rarely,477,Medical,1,Married,10248,2094,3,Y,No,14,3,4,80,1,24,4,3,22,6,5,17,No,Research & Development,7.0,4.0,36.0,1.0,Female,42.0,2.0,,4.0,Healthcare Representative
46,Travel_Rarely,705,Marketing,1,Single,18947,22822,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,1,No,saLEs,2.0,4.0,38.0,2.0,Fem,83.0,3.0,5.0,1.0,Manager
33,Travel_Rarely,924,Medical,1,Single,2496,6670,4,Y,No,11,3,4,80,0,7,3,3,1,1,0,0,No,Research & ,2.0,3.0,39.0,3.0,Male,78.0,,1.0,4.0,Laboratory Technician
44,Travel_Rarely,1459,Other,1,Married,6465,19121,2,Y,Yes,13,3,4,80,0,9,5,4,4,2,1,3,No,,10.0,4.0,40.0,4.0,,41.0,3.0,2.0,4.0,Healthcare Representative
30,Travel_Rarely,125,Medical,1,Single,2206,16117,1,Y,No,13,3,1,80,0,10,5,3,10,0,1,8,No,Research & Development,9.0,2.0,41.0,4.0,Male,83.0,2.0,,3.0,Laboratory Technician
39,Travel_Rarely,895,Technical Degree,1,Married,2086,3335,3,Y,No,14,3,3,80,1,19,6,4,1,0,0,0,Yes,Sa,5.0,3.0,42.0,4.0,Male,56.0,3.0,2.0,4.0,Sales Representative
24,Travel_Rarely,813,Medical,1,Married,2293,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0,Yes,Research & Development,1.0,3.0,45.0,2.0,Male,61.0,3.0,1.0,4.0,Research Scientist
43,Travel_Rarely,1273,Medical,1,Divorced,2645,21923,1,Y,No,12,3,4,80,2,6,3,2,5,3,1,4,No,Research & Development,2.0,2.0,46.0,4.0,Female,72.0,4.0,1.0,3.0,Research Scientist
50,Travel_Rarely,869,Marketing,1,Married,2683,3810,1,Y,Yes,14,3,3,80,0,3,2,3,3,2,0,2,Yes,Sales,3.0,2.0,,1.0,Male,86.0,2.0,1.0,,Sales Representative
35,Travel_Rarely,890,Marketing,1,Married,2014,9687,1,Y,No,13,3,1,80,0,2,3,3,2,2,2,2,No,Sales,2.0,3.0,49.0,4.0,Fem,97.0,3.0,1.0,4.0,Sales Representative
36,Travel_Rarely,852,Life Sciences,1,Married,3419,13072,9,Y,Yes,14,3,4,80,1,6,3,4,1,1,0,0,No,Research & Development,5.0,4.0,51.0,2.0,Female,82.0,2.0,1.0,1.0,Research Scientist
33,Travel_Frequently,1141,Life Sciences,1,Married,5376,3193,2,Y,No,19,3,1,80,2,10,3,3,5,3,1,3,No,Sales,1.0,3.0,52.0,3.0,Fem,42.0,4.0,2.0,,Sales Executive
35,Travel_Rarely,464,Other,1,Divorced,1951,10910,1,Y,No,12,3,3,80,1,1,3,3,1,0,0,0,No,Research & Development,,2.0,53.0,3.0,Male,75.0,,1.0,,Laboratory Technician
27,Travel_Rarely,1240,Life Sciences,1,Divorced,2341,19715,1,Y,No,13,3,4,80,1,1,6,3,1,0,0,0,No,Research & Development,,4.0,54.0,4.0,FeMALE,33.0,3.0,1.0,1.0,Laboratory Technician
26,Travel_Rarely,1357,Life Sciences,1,Single,2293,10558,1,Y,No,12,3,3,80,0,1,2,2,1,0,0,1,Yes,Research & ,25.0,3.0,55.0,1.0,Ma,48.0,1.0,1.0,3.0,Laboratory Technician
27,Travel_Frequently,994,Life Sciences,1,Single,8726,2975,1,Y,No,15,3,4,80,0,9,0,3,9,8,1,7,No,Sales,8.0,3.0,56.0,4.0,Ma,37.0,3.0,3.0,3.0,Sales Executive
30,Travel_Frequently,721,Medical,1,Single,4011,10781,1,Y,No,23,4,4,80,0,12,2,3,12,8,3,7,No,Research & ,1.0,2.0,,3.0,Female,58.0,3.0,2.0,4.0,Laboratory Technician
41,Travel_Rarely,1360,Technical Degree,1,Married,19545,16280,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8,Yes,Research & Development,12.0,3.0,58.0,2.0,,49.0,3.0,,3.0,Research Director
34,Non-Travel,1065,Marketing,1,Single,4568,10034,0,Y,No,20,4,3,80,0,10,2,3,9,5,8,7,No,Sales,23.0,4.0,60.0,2.0,Male,72.0,3.0,2.0,3.0,Sales Executive
37,Travel_Rarely,408,Life Sciences,1,Married,3022,10227,4,Y,No,21,4,1,80,0,8,1,3,1,0,0,0,No,Research & Development,19.0,2.0,61.0,2.0,Male,73.0,3.0,1.0,2.0,Research Scientist
46,Travel_Frequently,1211,Marketing,1,Single,5772,20445,4,Y,Yes,21,4,3,80,0,14,4,3,9,6,0,8,No,Sales,5.0,4.0,6.0,1.0,Ma,98.0,3.0,,4.0,Sales Executive
35,Travel_Rarely,1229,Life Sciences,1,Married,2269,4892,1,Y,No,19,3,4,80,0,1,2,3,1,0,0,1,No,Research & Development,,1.0,63.0,4.0,Ma,36.0,4.0,1.0,4.0,Laboratory Technician
48,Travel_Rarely,626,Life Sciences,1,Single,5381,19294,9,Y,Yes,13,3,4,80,0,23,2,3,1,0,0,0,Yes,Research & Development,1.0,2.0,64.0,1.0,Male,98.0,2.0,3.0,3.0,Laboratory Technician
28,Travel_Rarely,1434,Technical Degree,1,Single,3441,11179,1,Y,Yes,13,3,3,80,0,2,3,2,2,2,2,2,Yes,Research & Development,5.0,4.0,65.0,3.0,Male,50.0,3.0,1.0,3.0,Laboratory Technician
44,Travel_Rarely,1488,Marketing,1,Divorced,5454,4009,5,Y,Yes,21,4,3,80,1,9,2,2,4,3,1,3,No,Sales,,5.0,6.0,2.0,Female,75.0,,2.0,1.0,Sales Executive
35,Non-Travel,1097,Medical,1,Married,9884,8302,2,Y,Yes,13,3,3,80,1,10,3,3,4,0,2,3,No,Research & Development,11.0,2.0,70.0,3.0,Male,79.0,,,1.0,Healthcare Representative
26,Travel_Rarely,1443,Marketing,1,Married,4157,21436,7,Y,Yes,19,3,3,80,1,5,2,2,2,2,0,0,No,Sales,2.0,3.0,72.0,3.0,Female,47.0,2.0,2.0,4.0,Sales Executive
33,Travel_Frequently,515,Life Sciences,1,Single,13458,15146,1,Y,Yes,12,3,3,80,0,15,1,3,15,14,8,12,No,Research & ,1.0,2.0,73.0,1.0,Female,98.0,3.0,3.0,4.0,Research Director
35,Travel_Frequently,853,Life Sciences,1,Married,9069,11031,1,Y,No,22,4,4,80,1,9,3,2,9,8,1,8,No,Sales,18.0,5.0,74.0,2.0,MaLe,7.0,3.0,3.0,1.0,Sales Executive
35,Travel_Rarely,1142,Medical,1,Married,4014,16002,3,Y,Yes,15,3,3,80,1,4,3,3,2,2,2,2,No,Research & Development,23.0,4.0,75.0,3.0,feMALe,,3.0,1.0,,Laboratory Technician
31,Travel_Rarely,655,Life Sciences,1,Divorced,5915,9528,3,Y,No,22,4,4,80,1,10,3,2,7,7,1,7,No,Research & Development,,4.0,76.0,4.0,Male,48.0,3.0,2.0,4.0,Laboratory Technician
37,Travel_Rarely,1115,Life Sciences,1,Divorced,5993,2689,1,Y,No,18,3,3,80,1,7,2,4,7,5,0,7,No,,1.0,4.0,77.0,1.0,Male,51.0,2.0,2.0,,Manufacturing Director
32,Travel_Rarely,427,Medical,1,Married,6162,10877,1,Y,Yes,22,4,2,80,1,9,3,3,9,8,7,8,No,Research & Development,1.0,3.0,78.0,1.0,Male,33.0,3.0,2.0,4.0,Manufacturing Director
38,Travel_Frequently,653,Life Sciences,1,Single,2406,5456,1,Y,No,11,3,4,80,0,10,2,3,10,3,9,9,No,Research & Development,29.0,5.0,79.0,4.0,femALE,50.0,3.0,2.0,4.0,Laboratory Technician
50,Travel_Rarely,989,Medical,1,Divorced,18740,16701,5,Y,Yes,12,3,4,80,1,29,2,2,27,3,13,8,No,Research & Development,,2.0,80.0,2.0,Female,,2.0,5.0,3.0,Research Director
59,Travel_Rarely,1435,Life Sciences,1,Single,7637,2354,7,Y,No,11,3,4,80,0,28,3,2,21,16,7,9,No,Sales,25.0,3.0,81.0,1.0,Female,,3.0,3.0,1.0,Sales Executive
36,Travel_Rarely,1223,Technical Degree,1,Divorced,10096,8202,1,Y,No,13,3,2,80,3,17,2,3,17,14,12,8,No,Research & Development,8.0,3.0,83.0,3.0,Female,59.0,3.0,3.0,3.0,Healthcare Representative
55,Travel_Rarely,836,Medical,1,Divorced,14756,19730,2,Y,Yes,14,3,3,80,3,21,2,3,5,0,0,2,No,Research & Development,8.0,3.0,84.0,,Female,3.0,3.0,4.0,3.0,Manager
36,Travel_Frequently,1195,Life Sciences,1,Single,6499,22656,1,Y,No,13,3,3,80,0,6,3,3,6,5,0,3,No,Research & Development,11.0,3.0,85.0,2.0,Male,95.0,2.0,2.0,2.0,Manufacturing Director
45,Travel_Rarely,1339,Life Sciences,1,Divorced,9724,18787,2,Y,No,17,3,3,80,1,25,2,3,1,0,0,0,No,Research & Development,,3.0,86.0,2.0,Male,59.0,3.0,3.0,1.0,Research Scientist
35,Travel_Frequently,664,Medical,1,Married,2194,5868,4,Y,No,13,3,4,80,1,5,2,2,3,2,1,2,No,Research & Development,1.0,3.0,88.0,2.0,Male,79.0,3.0,1.0,,Research Scientist
36,Travel_Rarely,318,Medical,1,Married,3388,21777,0,Y,Yes,17,3,1,80,1,2,0,2,1,0,0,0,Yes,Research & Development,9.0,3.0,90.0,4.0,Male,79.0,2.0,1.0,3.0,Research Scientist
59,Travel_Frequently,1225,Life Sciences,1,Single,5473,24668,7,Y,No,11,3,4,80,0,20,2,2,4,3,1,3,No,Sales,1.0,1.0,91.0,1.0,Female,57.0,2.0,2.0,3.0,Sales Executive
29,Travel_Rarely,1328,Life Sciences,1,Married,2703,4956,0,Y,No,23,4,4,80,1,6,3,3,5,4,0,4,No,Research & Development,2.0,3.0,94.0,3.0,Male,76.0,3.0,1.0,,Research Scientist
31,Travel_Rarely,1082,Medical,1,Single,2501,18775,1,Y,No,17,3,2,80,0,1,4,3,1,1,1,0,No,reSearCH & DevELopMent,1.0,4.0,95.0,3.0,Male,87.0,3.0,1.0,2.0,Research Scientist
32,Travel_Rarely,548,Life Sciences,1,Married,6220,7346,1,Y,No,17,3,2,80,2,10,3,3,10,4,0,9,No,Research & Development,1.0,3.0,96.0,2.0,Male,66.0,3.0,2.0,2.0,Research Scientist
36,Travel_Rarely,132,Life Sciences,1,Married,3038,22002,3,Y,No,12,3,2,80,0,5,3,3,1,0,0,0,No,Research & ,6.0,3.0,97.0,2.0,Female,55.0,4.0,1.0,4.0,Laboratory Technician
31,Travel_Rarely,746,Life Sciences,1,Single,4424,20682,1,Y,No,23,4,4,80,0,11,2,3,11,7,1,8,No,Research & Development,8.0,4.0,98.0,3.0,Female,61.0,3.0,2.0,,Manufacturing Director
35,Travel_Rarely,776,Marketing,1,Single,4312,23016,0,Y,No,14,3,2,80,0,16,2,3,15,13,2,8,No,Sales,1.0,4.0,100.0,3.0,,32.0,2.0,2.0,1.0,Sales Executive
45,Travel_Rarely,193,Other,1,Married,13245,15067,4,Y,Yes,14,3,2,80,0,17,3,4,0,0,0,0,No,Research & Development,6.0,4.0,101.0,4.0,Male,52.0,3.0,3.0,1.0,Research Director
37,Travel_Rarely,397,Medical,1,Single,13664,25258,4,Y,No,13,3,1,80,0,16,3,4,5,2,0,2,No,Research & Development,7.0,4.0,1.0,1.0,mAle,30.0,3.0,3.0,,Research Director
46,Travel_Rarely,945,Medical,1,Divorced,5021,10425,8,Y,Yes,22,4,4,80,1,16,2,3,4,2,0,2,No,Human Resources,5.0,2.0,103.0,2.0,Male,80.0,3.0,2.0,,Human Resources
30,Travel_Rarely,852,Life Sciences,1,Married,5126,15998,1,Y,Yes,12,3,3,80,2,10,1,2,10,8,3,0,No,Research & ,1.0,1.0,,4.0,Male,55.0,2.0,2.0,4.0,Laboratory Technician
35,Travel_Rarely,1214,Medical,1,Single,2859,26278,1,Y,No,18,3,1,80,0,6,3,3,6,4,0,4,No,Research & Development,1.0,3.0,105.0,2.0,Ma,30.0,2.0,1.0,3.0,Research Scientist
55,Travel_Rarely,111,Life Sciences,1,Married,10239,18092,3,Y,No,14,3,4,80,1,24,4,3,1,0,1,0,No,Sales,1.0,2.0,106.0,1.0,Male,70.0,,3.0,4.0,Sales Executive
38,Non-Travel,573,Medical,1,Divorced,5329,15717,7,Y,Yes,12,3,4,80,3,17,3,3,13,11,1,9,No,Research & Development,,3.0,107.0,2.0,Female,79.0,1.0,2.0,4.0,Research Scientist
34,Travel_Rarely,1153,Medical,1,Married,4325,17736,1,Y,No,15,3,3,80,0,5,2,3,5,2,1,3,No,rESeaRch & dEvElOPMent,1.0,2.0,,1.0,,94.0,3.0,2.0,2.0,Manufacturing Director
56,Travel_Rarely,1400,Life Sciences,1,Single,7260,21698,4,Y,No,11,3,1,80,0,37,3,2,6,4,0,2,No,Research & Development,7.0,3.0,112.0,4.0,Male,49.0,1.0,3.0,4.0,Manufacturing Director
23,Travel_Rarely,541,Technical Degree,1,Divorced,2322,9518,3,Y,No,13,3,3,80,1,3,3,3,0,0,0,0,No,Sales,2.0,1.0,113.0,3.0,Ma,6.0,3.0,1.0,1.0,Sales Representative
51,Travel_Rarely,432,Life Sciences,1,Married,2075,18725,3,Y,No,23,4,2,80,2,10,4,3,4,2,0,3,No,reSEarch & DeveloPmenT,9.0,4.0,116.0,4.0,MALe,96.0,3.0,1.0,4.0,Laboratory Technician
30,Travel_Rarely,288,Life Sciences,1,Married,4152,15830,1,Y,No,19,3,1,80,3,11,3,3,11,10,10,8,No,Research & Development,2.0,3.0,117.0,3.0,Male,99.0,2.0,2.0,4.0,Healthcare Representative
46,Travel_Rarely,669,Medical,1,Single,9619,13596,1,Y,No,16,3,4,80,0,9,3,3,9,8,4,7,Yes,Sales,9.0,2.0,118.0,3.0,maLE,64.0,2.0,3.0,4.0,Sales Executive
40,Travel_Frequently,530,Life Sciences,1,Married,13503,14115,1,Y,No,22,4,4,80,1,22,3,2,22,3,11,11,No,Research & Development,,4.0,119.0,3.0,Male,7.0,2.0,4.0,2.0,Healthcare Representative
51,Travel_Rarely,632,Marketing,1,Single,5441,8423,0,Y,Yes,22,4,4,80,0,11,2,1,10,7,1,0,No,Sales,21.0,4.0,120.0,,Male,71.0,3.0,2.0,4.0,Sales Executive
30,Travel_Rarely,1334,Medical,1,Divorced,5209,19760,1,Y,Yes,12,3,2,80,3,11,4,2,11,8,2,7,No,Sales,4.0,2.0,121.0,3.0,Female,63.0,2.0,2.0,2.0,Sales Executive
46,Travel_Frequently,638,Medical,1,Married,10673,3142,2,Y,Yes,13,3,3,80,1,21,5,2,10,9,9,5,No,Research & Development,1.0,3.0,124.0,3.0,Male,40.0,,3.0,1.0,Healthcare Representative
32,Travel_Rarely,1093,Medical,1,Single,5010,24301,1,Y,No,16,3,1,80,0,12,0,3,11,8,5,7,No,Sales,6.0,4.0,125.0,2.0,Male,87.0,,2.0,3.0,Sales Executive
54,Travel_Rarely,1217,Technical Degree,1,Married,13549,24001,9,Y,No,12,3,1,80,1,16,5,1,4,3,0,3,No,Research & Development,,4.0,126.0,1.0,femALE,60.0,3.0,3.0,3.0,Research Director
24,Travel_Rarely,1353,Other,1,Married,4999,17519,0,Y,No,21,4,1,80,1,4,2,2,3,2,0,2,No,Sales,3.0,2.0,128.0,1.0,FEMale,3.0,3.0,2.0,3.0,Sales Executive
28,Non-Travel,120,Medical,1,Married,4221,8863,1,Y,No,15,3,2,80,0,5,3,4,5,4,0,4,No,Sales,4.0,3.0,129.0,2.0,Male,43.0,,2.0,,Sales Executive
58,Travel_Rarely,682,Medical,1,Single,13872,24409,0,Y,No,13,3,3,80,0,38,1,2,37,10,1,8,No,Sales,10.0,4.0,131.0,4.0,Male,37.0,3.0,4.0,3.0,Sales Executive
44,Non-Travel,489,Medical,1,Married,2042,25043,4,Y,No,12,3,3,80,1,17,3,4,3,2,1,2,No,Research & Development,,3.0,132.0,2.0,Male,67.0,3.0,2.0,2.0,Laboratory Technician
37,Travel_Rarely,807,Human Resources,1,Divorced,2073,23648,4,Y,Yes,22,4,4,80,0,7,3,3,3,2,0,2,Yes,Human Resources,,4.0,,3.0,Male,63.0,3.0,,1.0,Human Resources
32,Travel_Rarely,827,Life Sciences,1,Single,2956,15178,1,Y,No,13,3,4,80,0,1,2,3,1,0,0,0,No,Research & Development,1.0,1.0,134.0,4.0,Male,7.0,3.0,1.0,1.0,Research Scientist
20,Travel_Frequently,871,Life Sciences,1,Single,2926,19783,1,Y,Yes,18,3,2,80,0,1,5,3,1,0,1,0,Yes,REseARCh & deVElOpMEnt,6.0,3.0,137.0,4.0,Female,66.0,2.0,1.0,4.0,Laboratory Technician
34,Travel_Rarely,665,Other,1,Single,4809,12482,1,Y,No,14,3,3,80,0,16,3,3,16,13,2,10,No,Research & Development,6.0,4.0,138.0,1.0,Female,41.0,3.0,2.0,3.0,Research Scientist
37,Non-Travel,1040,Life Sciences,1,Divorced,5163,15850,5,Y,No,14,3,4,80,1,17,2,4,1,0,0,0,No,Research & Development,2.0,2.0,139.0,3.0,,100.0,,2.0,4.0,Healthcare Representative
59,Non-Travel,1420,Human Resources,1,Married,18844,21922,9,Y,No,21,4,4,80,1,30,3,3,3,2,2,2,No,Human Resources,2.0,4.0,,3.0,Female,32.0,2.0,5.0,4.0,Manager
50,Travel_Frequently,1115,Life Sciences,1,Married,18172,9755,3,Y,Yes,19,3,1,80,0,28,1,2,8,3,0,7,No,Research & ,1.0,3.0,141.0,1.0,Female,73.0,3.0,5.0,2.0,Research Director
25,Travel_Rarely,240,Marketing,1,Single,5744,26959,1,Y,Yes,11,3,4,80,0,6,1,3,6,4,0,3,Yes,Sales,5.0,3.0,142.0,3.0,Male,46.0,2.0,2.0,3.0,Sales Executive
25,Travel_Rarely,1280,Medical,1,Married,2889,26897,1,Y,No,11,3,3,80,2,2,2,3,2,2,2,1,No,Research & Development,7.0,1.0,143.0,4.0,Male,64.0,2.0,1.0,4.0,Research Scientist
22,Travel_Rarely,534,Medical,1,Single,2871,23785,1,Y,No,15,3,3,80,0,1,5,3,0,0,0,0,No,,15.0,3.0,144.0,2.0,FeMalE,59.0,3.0,,4.0,Laboratory Technician
51,Travel_Frequently,1456,Medical,1,Single,7484,25796,3,Y,No,20,4,3,80,0,23,1,2,13,12,12,8,No,Research & Development,,4.0,1.0,1.0,Female,30.0,2.0,3.0,,Healthcare Representative
34,Travel_Frequently,658,Life Sciences,1,Single,6074,22887,1,Y,Yes,24,4,4,80,0,9,3,3,9,7,0,6,Yes,Research & Development,7.0,3.0,147.0,1.0,Male,66.0,1.0,2.0,3.0,Laboratory Technician
54,Non-Travel,142,Human Resources,1,Single,17328,13871,2,Y,Yes,12,3,3,80,0,23,3,3,5,3,4,4,No,Human Resources,26.0,3.0,148.0,4.0,Female,30.0,4.0,4.0,4.0,Manager
24,Travel_Rarely,1127,Life Sciences,1,Married,2774,13257,0,Y,No,12,3,3,80,1,6,2,3,5,3,1,2,No,Research & Development,18.0,1.0,150.0,2.0,MALE,52.0,3.0,1.0,,Laboratory Technician
34,Travel_Rarely,1031,Life Sciences,1,Divorced,4505,15000,6,Y,No,15,3,3,80,1,12,3,3,1,0,0,0,No,,6.0,4.0,151.0,3.0,Female,45.0,2.0,2.0,2.0,Research Scientist
37,Travel_Rarely,1189,Life Sciences,1,Single,7428,14506,2,Y,No,12,3,1,80,0,12,3,3,5,3,1,3,No,Sales,3.0,3.0,152.0,3.0,Ma,87.0,3.0,3.0,4.0,Sales Executive
34,Travel_Rarely,1354,Medical,1,Single,11631,5615,2,Y,No,12,3,4,80,0,14,6,3,11,10,5,8,No,Research & Development,5.0,3.0,153.0,3.0,Female,45.0,2.0,3.0,1.0,Manager
36,Travel_Frequently,1467,Technical Degree,1,Married,9738,22952,0,Y,No,14,3,3,80,1,10,6,3,9,7,2,8,No,Sales,11.0,2.0,154.0,2.0,Female,92.0,3.0,3.0,4.0,Sales Executive
36,Travel_Rarely,922,Life Sciences,1,Divorced,2835,2561,5,Y,No,22,4,1,80,1,7,2,3,1,0,0,0,No,Research & Development,3.0,2.0,155.0,1.0,Female,3.0,3.0,1.0,4.0,Laboratory Technician
43,Travel_Frequently,394,Life Sciences,1,Married,16959,19494,1,Y,Yes,12,3,4,80,2,25,3,4,25,12,4,12,No,saLeS,26.0,2.0,158.0,3.0,Male,92.0,3.0,4.0,4.0,Manager
30,Travel_Frequently,1312,Life Sciences,1,Divorced,2613,22310,1,Y,No,25,4,3,80,3,10,2,2,10,7,0,9,No,Research & Development,23.0,3.0,159.0,1.0,Male,96.0,1.0,1.0,,Research Scientist
